time,addr,symbol,mint_auth,freeze_auth,top1,top5,top10,top10_ex1
2026-07-14 23:27,Aq5dLtgrWDeHdJgRi4ka4wV2L8v1ioTtqFy8L9LQpump,CAT,False,False,12.8,19.2,25.5,13.9
2026-07-14 23:44,5j9XjKKhDoGH7o7gPHZU5s3kCvEgyrJ1i54QV2Cbpump,MELANIACOI,False,False,7.9,13.8,21.1,14.7
2026-07-14 23:49,GjJsyLWFEHA4TCJBGpobM2tceM4wiQaD3ZPKDhDppump,Cyclospora,False,False,16.5,25.8,35.3,20.5
2026-07-15 00:15,AXfBkmtYsvKu5R8wSrbAeXdMPzqAs5Y9vagzktNFpump,Nobody,False,False,25.0,40.8,50.6,27.2
2026-07-15 00:17,2kMMjbNvirW9jr127RxHzapPBYADEZmW9Xv5nXtipump,BASH,False,False,18.8,32.4,45.5,29.2
2026-07-15 00:38,C6UmBDzrdJZrX2yP9fZmPLggnJcXDqCxCKBey9Ympump,CatsOnACouch,False,False,13.9,25.1,36.9,25.1
2026-07-15 00:41,GjPcGzjqAtEjaFHPYGq36cDRibhbtwAqvMd8Avvpump,PUMPANGEL,False,False,16.6,22.5,28.8,13.4
2026-07-15 01:05,HJNsremSZEpbjgb7SSU4kiwEcJbVF3vHF5HFeH4tpump,SJM,False,False,12.2,23.3,33.0,22.7
2026-07-15 01:44,EpEFCfuniqhxtWSmqFMiw4EokrXQT8j3RPdrradjpump,BWO,False,False,25.1,35.2,44.4,20.9
2026-07-15 01:59,6YrNwYwsaZ1BqYgLgB5k67oFe4s7h8s7pfiDZ8rYpump,ANSEMARTS,False,False,7.2,8.2,9.4,2.4
